label,message,length,processed_message,token_count
ham,I went to project centre,24,"['went', 'project', 'centre']",3
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,"['wait', 'still', 'clear', 'sure', 'sarcastic', 'x', 'want', 'live', 'u']",9
ham,Love you aathi..love u lot..,28,"['love', 'aathi', 'love', 'u', 'lot']",5
ham,I dunno they close oredi not... Ü v ma fan...,45,"['dunno', 'close', 'oredi', 'ü', 'v', 'fan']",6
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",132,"['win', 'winner', 'foley', 'ipod', 'exciting', 'prize', 'soon', 'keep', 'eye', 'ur', 'mobile', 'visit']",12
ham,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,85,"['tomarrow', 'want', 'got', 'court', 'lt', 'decimal', 'gt', 'come', 'bus', 'stand']",10
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",166,"['murderer', 'coz', 'man', 'murdered', 'lt', 'gt', 'th', 'january', 'public', 'holiday', 'closed', 'including', 'post', 'office', 'understand']",15
ham,Are you going to wipro interview today?,39,"['going', 'wipro', 'interview', 'today']",4
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",153,"['urgent', 'call', 'landline', 'complimentary', 'ibiza', 'holiday', 'cash', 'await', 'collection', 'sae', 'c', 'po', 'box', 'ppm']",14
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1.",375,"['whatever', 'want', 'know', 'rule', 'talk', 'earlier', 'week', 'start', 'happening', 'showing', 'responsibility', 'yet', 'every', 'week', 'bend', 'rule', 'way', 'way', 'whatever', 'tired', 'thia', 'argument', 'every', 'week', 'lt', 'gt', 'movie', 'doesnt', 'inlude', 'preview', 'still', 'getting']",32
ham,Ok. I only ask abt e movie. U wan ktv oso?,42,"['ok', 'ask', 'abt', 'e', 'movie', 'u', 'wan', 'ktv', 'oso']",9
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,115,"['yes', 'think', 'office', 'lap', 'room', 'think', 'thats', 'last', 'day', 'didnt', 'shut']",11
ham,This pay is  &lt;DECIMAL&gt;  lakhs:),37,"['pay', 'lt', 'decimal', 'gt', 'lakh']",5
ham,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",54,"['boy', 'late', 'home', 'father', 'power', 'frndship']",6
ham,I fetch yun or u fetch?,23,"['fetch', 'yun', 'u', 'fetch']",4
ham,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,81,"['luv', 'u', 'soo', 'much', 'u', 'understand', 'special', 'u', 'r', 'ring', 'u', 'luv', 'u', 'xxx']",14
ham,Oh ho. Is this the first time u use these type of words,55,"['oh', 'ho', 'first', 'time', 'u', 'use', 'type', 'word']",8
ham,I'm done oredi...,17,"['done', 'oredi']",2
ham,U can call me now...,20,"['u', 'call']",2
ham,Wish u many many returns of the day.. Happy birthday vikky..,60,"['wish', 'u', 'many', 'many', 'return', 'day', 'happy', 'birthday', 'vikky']",9
ham,You've always been the brainy one.,34,"['always', 'brainy', 'one']",3
spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",156,"['thanks', 'ringtone', 'order', 'reference', 'number', 'mobile', 'charged', 'tone', 'arrive', 'please', 'call', 'customer', 'service']",13
ham,Will you be here for food,25,['food'],1
ham,Pls speak to that customer machan.,34,"['pls', 'speak', 'customer', 'machan']",4
ham,Im on gloucesterroad what are uup to later?,43,"['im', 'gloucesterroad', 'uup', 'later']",4
ham,Ha ha cool cool chikku chikku:-):-DB-),38,"['ha', 'ha', 'cool', 'cool', 'chikku', 'chikku']",6
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-).",74,"['happy', 'sad', 'one', 'thing', 'past', 'good', 'morning']",7
ham,Ok.ok ok..then..whats ur todays plan,36,"['ok', 'whats', 'ur', 'today', 'plan']",5
ham,After completed degree. There is no use in joining finance.,59,"['completed', 'degree', 'use', 'joining', 'finance']",5
ham,In fact when do you leave? I think addie goes back to school tues or wed,72,"['fact', 'leave', 'think', 'addie', 'go', 'back', 'school', 'tues', 'wed']",9
ham,LMAO where's your fish memory when I need it?,45,"['lmao', 'fish', 'memory', 'need']",4
ham,"How about clothes, jewelry, and trips?",38,"['clothes', 'jewelry', 'trip']",3
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",124,"['hi', 'sexychat', 'girl', 'waiting', 'text', 'text', 'great', 'night', 'chatting', 'send', 'stop', 'stop', 'service']",13
ham,"Sorry, I'll call later",22,"['sorry', 'call', 'later']",3
ham,I'm in class. Will holla later,30,"['class', 'holla', 'later']",3
ham,Ok thanx... Take care then...,29,"['ok', 'thanx', 'take', 'care']",4
ham,There the size of elephant tablets & u shove um up ur ass!!,59,"['size', 'elephant', 'tablet', 'u', 'shove', 'um', 'ur', 'as']",8
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :),83,"['hmm', 'yeah', 'grooved', 'im', 'looking', 'forward', 'pound', 'special']",8
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,87,"['sorry', 'da', 'thought', 'calling', 'lot', 'time', 'lil', 'call', 'noon']",9
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,103,"['zoe', 'hit', 'im', 'fucking', 'shitin', 'il', 'defo', 'try', 'hardest', 'cum', 'luv', 'u', 'million', 'lekdog']",14
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,123,"['excellent', 'spent', 'lt', 'gt', 'year', 'air', 'force', 'iraq', 'afghanistan', 'stable', 'honest', 'like', 'traveling']",13
ham,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,118,"['hi', 'kate', 'lovely', 'see', 'tonight', 'ill', 'phone', 'tomorrow', 'got', 'sing', 'guy', 'gave', 'card', 'xxx']",14
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",263,"['plz', 'note', 'anyone', 'calling', 'mobile', 'amp', 'asks', 'u', 'type', 'lt', 'gt', 'lt', 'gt', 'disconnect', 'call', 'coz', 'iz', 'attempt', 'make', 'use', 'sim', 'card', 'itz', 'confirmd', 'nokia', 'n', 'motorola', 'n', 'verified', 'cnn', 'ibn']",31
ham,Is avatar supposed to have subtoitles,37,"['avatar', 'supposed', 'subtoitles']",3
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,212,"['u', 'konw', 'waht', 'rael', 'friendship', 'im', 'gving', 'yuo', 'exmpel', 'jsut', 'ese', 'tihs', 'msg', 'evrey', 'splleing', 'tihs', 'msg', 'wrnog', 'bt', 'sitll', 'yuo', 'raed', 'wihtuot', 'ayn', 'mitsake', 'goodnight', 'amp', 'nice', 'sleep', 'sweet', 'dream']",31
ham,Both :) i shoot big loads so get ready!,39,"['shoot', 'big', 'load', 'get', 'ready']",5
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",114,"['dear', 'voucher', 'holder', 'claim', 'week', 'offer', 'pc', 'please', 'go', 'http', 't', 'c', 'apply']",13
ham,Remember on that day..,22,"['remember', 'day']",2
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",157,"['might', 'want', 'pull', 'case', 'plan', 'spending', 'much', 'confidence', 'derek', 'taylor', 'money', 'management']",12
ham,* Will have two more cartons off u and is very pleased with shelves,67,"['two', 'carton', 'u', 'pleased', 'shelf']",5
ham,I'm vivek:)i got call from your number.,39,"['vivek', 'got', 'call', 'number']",4
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,212,"['u', 'konw', 'waht', 'rael', 'friendship', 'im', 'gving', 'yuo', 'exmpel', 'jsut', 'ese', 'tihs', 'msg', 'evrey', 'splleing', 'tihs', 'msg', 'wrnog', 'bt', 'sitll', 'yuo', 'raed', 'wihtuot', 'ayn', 'mitsake', 'goodnight', 'amp', 'nice', 'sleep', 'sweet', 'dream']",31
ham,Watching tv lor. Nice one then i like lor.,42,"['watching', 'tv', 'lor', 'nice', 'one', 'like', 'lor']",7
ham,You best watch what you say cause I get drunk as a motherfucker,63,"['best', 'watch', 'say', 'cause', 'get', 'drunk', 'motherfucker']",7
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,143,"['ripped', 'get', 'mobile', 'content', 'call', 'six', 'downloads']",7
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,105,"['huh', 'got', 'lesson', 'lei', 'n', 'thinkin', 'going', 'sch', 'earlier', 'n', 'tot', 'parkin', 'kent', 'vale']",14
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,91,"['u', 'definitely', 'need', 'module', 'e', 'humanity', 'dis', 'sem', 'izzit', 'u', 'wan', 'take', 'module']",13
ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",293,"['frnd', 'necesity', 'life', 'imagine', 'urself', 'witout', 'frnd', 'hw', 'u', 'feel', 'ur', 'colleg', 'wat', 'u', 'wth', 'ur', 'cell', 'wat', 'abt', 'function', 'thnk', 'abt', 'event', 'espe', 'cared', 'missed', 'amp', 'irritated', 'u', 'frnds', 'wthout', 'u', 'cant', 'live', 'jst', 'takecare', 'goodmorning']",37
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",111,"['ca', 'speak', 'bcaz', 'mobile', 'problem', 'listen', 'listen', 'voice', 'call', 'later']",10
ham,I.ll post her out l8r. In class,31,"['post', 'class']",2
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",133,"['hey', 'look', 'like', 'wrong', 'one', 'kappa', 'guy', 'number', 'still', 'phone', 'want', 'text', 'see', 'around']",14
ham,Oh really?? Did you make it on air? What's your talent?,55,"['oh', 'really', 'make', 'air', 'talent']",5
ham,Do you like shaking your booty on the dance floor?,50,"['like', 'shaking', 'booty', 'dance', 'floor']",5
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",92,"['got', 'gas', 'money', 'chance', 'gang', 'want', 'go', 'grand', 'nature', 'adventure']",10
ham,I think i've fixed it can you send a test message?,50,"['think', 'fixed', 'send', 'test', 'message']",5
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,91,"['eh', 'sorry', 'leh', 'din', 'c', 'ur', 'msg', 'sad', 'already', 'lar', 'watching', 'tv', 'u', 'still', 'office']",15
ham,Yes.. now only saw your message..,33,"['yes', 'saw', 'message']",3
ham,You are right. Meanwhile how's project twins comin up,53,"['right', 'meanwhile', 'project', 'twin', 'comin']",5
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,88,"['busy', 'trying', 'finish', 'new', 'year', 'looking', 'forward', 'finally', 'meeting']",9
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",159,"['urgent', 'costa', 'del', 'sol', 'holiday', 'await', 'collection', 'call', 'toclaim', 'sae', 'tc', 'stockport']",12
ham,"Did you say bold, then torch later. Or one torch and 2bold?",59,"['say', 'bold', 'torch', 'later', 'one', 'torch']",6
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,112,"['usually', 'body', 'take', 'care', 'buy', 'making', 'sure', 'doesnt', 'progress', 'pls', 'continue', 'talk', 'saturday']",13
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,72,"['howz', 'come', 'said', 'medicine']",4
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,110,"['alex', 'know', 'guy', 'sell', 'mids', 'south', 'tampa', 'think', 'could', 'set', 'like']",11
ham,Can not use foreign stamps in this country.,43,"['use', 'foreign', 'stamp', 'country']",4
ham,R u sure they'll understand that! Wine * good idea just had a slurp!,68,"['r', 'u', 'sure', 'understand', 'wine', 'good', 'idea', 'slurp']",8
ham,It has issues right now. Ill fix for her by tomorrow.,53,"['issue', 'right', 'ill', 'fix', 'tomorrow']",5
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.,85,"['lol', 'know', 'awesome', 'phone', 'could', 'click', 'delete', 'right', 'want']",9
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,146,"['going', 'tirunelvali', 'week', 'see', 'uncle', 'already', 'spend', 'amount', 'taking', 'dress', 'want', 'give', 'feb']",13
ham,Orh i tot u say she now still dun believe.,42,"['orh', 'tot', 'u', 'say', 'still', 'dun', 'believe']",7
ham,Any way where are you and what doing.,37,['way'],1
ham,Dont pick up d call when something important is There to tell. Hrishi,69,"['dont', 'pick', 'call', 'something', 'important', 'tell', 'hrishi']",7
ham,"We're all getting worried over here, derek and taylor have already assumed the worst",84,"['getting', 'worried', 'derek', 'taylor', 'already', 'assumed', 'worst']",7
ham,"Sir, waiting for your letter.",29,"['sir', 'waiting', 'letter']",3
ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,87,"['ujhhhhhhh', 'computer', 'shipped', 'address', 'sandiago', 'parantella', 'lane', 'wtf', 'poop']",9
ham,"Hi this is yijue, can i meet u at 11 tmr?",41,"['hi', 'yijue', 'meet', 'u', 'tmr']",5
ham,No no. I will check all rooms befor activities,46,"['check', 'room', 'befor', 'activity']",4
ham,Hey gals.. Anyone of u going down to e driving centre tmr?,58,"['hey', 'gal', 'anyone', 'u', 'going', 'e', 'driving', 'centre', 'tmr']",9
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",152,"['good', 'afternoon', 'loverboy', 'go', 'day', 'luck', 'come', 'way', 'think', 'sweetie', 'send', 'love', 'across', 'sea', 'make', 'smile', 'happy']",17
ham,"Same, I'm at my great aunts anniversary party in tarpon springs",63,"['great', 'aunt', 'anniversary', 'party', 'tarpon', 'spring']",6
ham,Me n him so funny...,20,"['n', 'funny']",2
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,82,"['use', 'soc', 'use', 'home', 'ü', 'dunno', 'type', 'word', 'ar']",9
ham,Yes princess! I want to make you happy...,41,"['yes', 'princess', 'want', 'make', 'happy']",5
ham,Do ü noe if ben is going?,25,"['ü', 'noe', 'ben', 'going']",4
ham,"Not yet chikku..going to room nw, i'm in bus..",46,"['yet', 'chikku', 'going', 'room', 'nw', 'bus']",6
ham,Studying. But i.ll be free next weekend.,40,"['studying', 'free', 'next', 'weekend']",4
ham,I come n pick ü up... Come out immediately aft ur lesson...,59,"['come', 'n', 'pick', 'ü', 'come', 'immediately', 'aft', 'ur', 'lesson']",9
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",123,"['nah', 'straight', 'bring', 'bud', 'drink', 'something', 'actually', 'little', 'useful', 'straight', 'cash']",11
ham,it's really getting me down just hanging around.,48,"['really', 'getting', 'hanging', 'around']",4
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",64,"['make', 'squeezed', 'lt', 'gt', 'buck', 'dad']",6
ham,Do you hide anythiing or keeping distance from me,49,"['hide', 'anythiing', 'keeping', 'distance']",4
ham,"What will we do in the shower, baby?",36,"['shower', 'baby']",2
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a £250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop£1.50/week,154,"['knock', 'knock', 'txt', 'whose', 'enter', 'r', 'weekly', 'draw', 'gift', 'voucher', 'store', 'yr', 'choice', 'c']",14
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,162,"['coming', 'back', 'thursday', 'yay', 'gon', 'na', 'ok', 'get', 'money', 'cheer', 'oh', 'yeah', 'everything', 'alright', 'hows', 'school', 'call', 'work']",18
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,80,"['lol', 'wo', 'feel', 'bad', 'use', 'money', 'take', 'steak', 'dinner']",9
ham,We can make a baby in yo tho,28,"['make', 'baby', 'yo', 'tho']",4
ham,Can come my room but cannot come my house cos my house still messy... Haha...,77,"['come', 'room', 'come', 'house', 'co', 'house', 'still', 'messy', 'haha']",9
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,"['winner', 'u', 'specially', 'selected', 'receive', 'holiday', 'flight', 'inc', 'speak', 'live', 'operator', 'claim']",12
ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?,81,"['enjoy', 'watching', 'playing', 'football', 'basketball', 'anything', 'outdoors']",7
ham,Wait 2 min..stand at bus stop,29,"['wait', 'min', 'stand', 'bus', 'stop']",5
ham,"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",137,"['symptom', 'u', 'love', 'like', 'listening', 'song', 'get', 'stopped', 'u', 'see', 'name', 'beloved', 'wo', 'get', 'angry']",15
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,119,"['u', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']",19
ham,Customer place i will call you.,31,"['customer', 'place', 'call']",3
ham,Delhi and chennai still silent.,31,"['delhi', 'chennai', 'still', 'silent']",4
spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,145,"['registered', 'subscriber', 'yr', 'draw', 'gift', 'voucher', 'b', 'entered', 'receipt', 'correct', 'an', 'next', 'olympics', 'txt', 'an']",15
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,157,"['want', 'new', 'nokia', 'colour', 'phone', 'deliveredtomorrow', 'free', 'minute', 'mobile', 'free', 'text', 'free', 'camcorder', 'reply', 'call']",15
ham,Ü no home work to do meh... ,28,"['ü', 'home', 'work', 'meh']",4
ham,No..jst change tat only..,25,"['jst', 'change', 'tat']",3
ham,Sindu got job in birla soft ..,30,"['sindu', 'got', 'job', 'birla', 'soft']",5
ham,Ü neva tell me how i noe... I'm not at home in da aft wat... ,61,"['ü', 'neva', 'tell', 'noe', 'home', 'da', 'aft', 'wat']",8
ham,K k pa Had your lunch aha.,26,"['k', 'k', 'pa', 'lunch', 'aha']",5
ham,Ok... Take ur time n enjoy ur dinner...,39,"['ok', 'take', 'ur', 'time', 'n', 'enjoy', 'ur', 'dinner']",8
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,159,"['urgent', 'trying', 'contact', 'today', 'draw', 'show', 'prize', 'guaranteed', 'call', 'land', 'line', 'claim', 'valid']",13
ham,All sounds good. Fingers . Makes it difficult to type,53,"['sound', 'good', 'finger', 'make', 'difficult', 'type']",6
ham,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,77,"['walked', 'hour', 'c', 'u', 'show', 'care', 'wont', 'u', 'believe', 'im', 'serious']",11
ham,S:)8 min to go for lunch:),26,"['min', 'go', 'lunch']",3
ham,What type of stuff do you sing?,31,"['type', 'stuff', 'sing']",3
ham,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",154,"['time', 'n', 'smile', 'r', 'two', 'crucial', 'thing', 'life', 'sometimes', 'time', 'make', 'u', 'forget', 'smile', 'sometimes', 'someone', 'smile', 'make', 'u', 'forget', 'time', 'gud', 'noon']",23
ham,Happy birthday... May all ur dreams come true...,48,"['happy', 'birthday', 'may', 'ur', 'dream', 'come', 'true']",7
ham,Yes. that will be fine. Love you. Be safe.,42,"['yes', 'fine', 'love', 'safe']",4
ham,Yes. Last  practice,19,"['yes', 'last', 'practice']",3
ham,Oh did you charge camera,24,"['oh', 'charge', 'camera']",3
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,129,"['deep', 'sigh', 'miss', 'really', 'surprised', 'gone', 'net', 'cafe', 'yet', 'get', 'miss']",11
ham,Yesterday its with me only . Now am going home.,47,"['yesterday', 'going', 'home']",3
ham,Honey boo I'm missing u.,24,"['honey', 'boo', 'missing', 'u']",4
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,184,"['idk', 'sitting', 'stop', 'shop', 'parking', 'lot', 'right', 'bawling', 'eye', 'feel', 'like', 'failure', 'everything', 'nobody', 'want', 'feel', 'like', 'failing']",18
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",141,"['go', 'write', 'msg', 'put', 'dictionary', 'mode', 'cover', 'screen', 'hand', 'press', 'lt', 'gt', 'gently', 'remove', 'ur', 'hand', 'interesting']",17
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,92,"['diet', 'ate', 'many', 'slice', 'pizza', 'yesterday', 'ugh', 'always', 'diet']",9
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you,81,"['please', 'call', 'immediately', 'urgent', 'message', 'waiting']",6
ham,Oh you got many responsibilities.,33,"['oh', 'got', 'many', 'responsibility']",4
ham,In da car park ,15,"['da', 'car', 'park']",3
ham,"It's wylie, you in tampa or sarasota?",37,"['wylie', 'tampa', 'sarasota']",3
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",163,"['say', 'god', 'love', 'amp', 'need', 'clean', 'heart', 'ten', 'special', 'people', 'amp', 'u', 'c', 'miracle', 'tomorrow', 'pls', 'pls']",17
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,104,"['hate', 'call', 'didnt', 'accept', 'even', 'single', 'call', 'mine', 'even', 'messaged']",10
ham,Lmao but its so fun...,22,"['lmao', 'fun']",2
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,69,"['tell', 'friend', 'plan', 'valentine', 'day', 'lt', 'url', 'gt']",8
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend",56,"['hey', 'iouri', 'gave', 'number', 'wylie', 'ryan', 'friend']",7
ham,Ü wait 4 me in sch i finish ard 5..,35,"['ü', 'wait', 'sch', 'finish', 'ard']",5
ham,Wait  &lt;#&gt;  min..,22,"['wait', 'lt', 'gt', 'min']",4
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,104,"['yes', 'really', 'great', 'bhaji', 'told', 'kallis', 'best', 'cricketer', 'sachin', 'world', 'tough', 'get']",12
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,136,"['per', 'request', 'alaipayuthe', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']",10
ham,All done? All handed in? Celebrations in full swing yet?,56,"['done', 'handed', 'celebration', 'full', 'swing', 'yet']",6
ham,If you have belive me. Come to my home.,39,"['belive', 'come', 'home']",3
ham,My uncles in Atlanta. Wish you guys a great semester.,53,"['uncle', 'atlanta', 'wish', 'guy', 'great', 'semester']",6
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,72,"['u', 'find', 'sitter', 'kaitlyn', 'sick', 'slept', 'day', 'yesterday']",8
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,147,"['please', 'call', 'customer', 'service', 'representative', 'freephone', 'guaranteed', 'cash', 'prize']",9
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,72,"['yup', 'shd', 'haf', 'ard', 'page', 'add', 'figure', 'ü', 'got', 'many', 'page']",11
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,71,"['ü', 'ü', 'wan', 'come', 'come', 'lor', 'din', 'c', 'stripe', 'skirt']",10
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,156,"['good', 'afternoon', 'boytoy', 'go', 'walking', 'day', 'get', 'police', 'abstract', 'still', 'wake', 'miss', 'babe']",13
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",148,"['free', 'msg', 'sorry', 'service', 'ordered', 'could', 'delivered', 'sufficient', 'credit', 'please', 'top', 'receive', 'service']",13
ham,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,153,"['lol', 'take', 'member', 'said', 'aunt', 'flow', 'visit', 'month', 'cause', 'developed', 'ovarian', 'cyst', 'bc', 'way', 'shrink']",15
ham,Dunno y u ask me.,17,"['dunno', 'u', 'ask']",3
ham,"Sorry, I'll call later ok bye",29,"['sorry', 'call', 'later', 'ok', 'bye']",5
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",129,"['hello', 'boytoy', 'geeee', 'miss', 'already', 'woke', 'wish', 'bed', 'cuddling', 'love']",10
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'http']",11
ham,What you need. You have a person to give na.,44,"['need', 'person', 'give', 'na']",4
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,72,"['nooooooo', 'gon', 'na', 'bored', 'death', 'day', 'cable', 'internet', 'outage']",9
ham,I cant pick the phone right now. Pls send a message,51,"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']",7
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,96,"['thinking', 'going', 'reg', 'pract', 'lesson', 'flung', 'advance', 'haha', 'wat', 'time', 'u', 'going']",12
